,year,country,World GDP rank,city,Medal number,Host country
1153,1964.0,Brazil,10,Innsbruck,1,Austria
1211,1964.0,United Kingdom,2,Innsbruck,1,Austria
1210,1964.0,Netherlands,11,Innsbruck,2,Austria
1138,1964.0,Belgium,12,Innsbruck,3,Austria
1209,1964.0,Canada,7,Innsbruck,3,Austria
1212,1964.0,Italy,5,Innsbruck,4,Austria
1205,1964.0,France,3,Innsbruck,7,Austria
1207,1964.0,Sweden,9,Innsbruck,7,Austria
1208,1964.0,United States,1,Innsbruck,7,Austria
1126,1964.0,Australia,8,Innsbruck,18,Austria
1121,1964.0,Japan,4,Innsbruck,29,Austria
1414,1968.0,Belgium,12,Grenoble,2,France
1413,1968.0,Brazil,8,Grenoble,3,France
1435,1968.0,Canada,6,Grenoble,3,France
1398,1968.0,Sweden,10,Grenoble,4,France
1426,1968.0,Italy,5,Grenoble,4,France
1395,1968.0,Netherlands,11,Grenoble,7,France
1431,1968.0,United States,1,Grenoble,7,France
1425,1968.0,France,3,Grenoble,9,France
1388,1968.0,United Kingdom,4,Grenoble,13,France
1387,1968.0,Australia,9,Grenoble,17,France
1381,1968.0,Japan,2,Grenoble,25,France
1502,1972.0,Canada,8,Sapporo,1,Japan
1478,1972.0,Brazil,9,Sapporo,2,Japan
1496,1972.0,Japan,2,Sapporo,3,Japan
1501,1972.0,France,4,Sapporo,3,Japan
1495,1972.0,Sweden,12,Sapporo,4,Japan
1453,1972.0,Netherlands,10,Sapporo,5,Japan
1491,1972.0,Germany,3,Sapporo,5,Japan
1493,1972.0,Italy,6,Sapporo,5,Japan
1490,1972.0,United States,1,Sapporo,8,Japan
1443,1972.0,Australia,11,Sapporo,17,Japan
1449,1972.0,United Kingdom,5,Sapporo,18,Japan
1226,1976.0,United Kingdom,5,Innsbruck,1,Austria
1230,1976.0,France,4,Innsbruck,1,Austria
1195,1976.0,Brazil,9,Innsbruck,2,Austria
1229,1976.0,Sweden,12,Innsbruck,2,Austria
1225,1976.0,Canada,7,Innsbruck,3,Austria
1224,1976.0,Italy,6,Innsbruck,4,Austria
1188,1976.0,Netherlands,10,Innsbruck,5,Austria
1191,1976.0,Australia,11,Innsbruck,5,Austria
1217,1976.0,United States,1,Innsbruck,10,Austria
1219,1976.0,Germany,3,Innsbruck,10,Austria
1164,1976.0,Japan,2,Innsbruck,25,Austria
497,1980.0,United Kingdom,5,Lake Placid,1,United States
502,1980.0,Japan,2,Lake Placid,1,United States
505,1980.0,France,4,Lake Placid,1,United States
499,1980.0,Italy,6,Lake Placid,2,United States
500,1980.0,Canada,7,Lake Placid,2,United States
470,1980.0,Netherlands,9,Lake Placid,3,United States
457,1980.0,Brazil,8,Lake Placid,4,United States
491,1980.0,Sweden,12,Lake Placid,4,United States
498,1980.0,Germany,3,Lake Placid,5,United States
455,1980.0,Australia,11,Lake Placid,9,United States
489,1980.0,United States,1,Lake Placid,12,United States
601,1984.0,United Kingdom,5,Los Angeles,1,United States
604,1984.0,Japan,2,Los Angeles,1,United States
600,1984.0,Italy,6,Los Angeles,2,United States
