,country,Medal,Number games hosted,GDP,GDP rank
0,United States,5707.0,7,13.361654188535155,1
3,Germany,2356.0,1,12.625633031914301,4
4,United Kingdom,2010.0,3,12.503362949624204,5
5,France,1717.0,4,12.46797384766265,6
6,Italy,1502.0,2,12.322194518200947,7
11,Sweden,1426.0,1,11.797570747674634,12
1,China,1036.0,2,13.24880823827167,2
2,Japan,1020.0,3,12.693500237312417,3
13,Norway,947.0,2,11.68344062598501,14
9,Australia,941.0,1,12.18827019058878,10
7,Canada,940.0,2,12.299019257111514,8
10,Netherlands,793.0,1,12.007750788593714,11
14,Austria,615.0,2,11.678593456743872,15
12,Belgium,330.0,1,11.77806367720324,13
8,Brazil,233.0,1,12.20655097527042,9
15,Greece,153.0,2,11.33493721660597,16
